
4000	0.0056
8000	0.02248
12000	0.062
16000	0.093
20000	0.156
24000	0.218
28000	0.281
32000	0.36
36000	0.484
40000	0.578
44000	0.688
48000	0.843
52000	0.984
56000	1.14
60000	1.312
64000	1.468
68000	1.671
72000	1.859
76000	2.047
80000	2.281
84000	2.515
88000	2.75
92000	3.016
96000	3.296
100000	3.578
